isbn,title,author,year
9781594487020,The Chaperone,Laura Moriarty,2012
9780590396560,Cold Fire,Tamora Pierce,2002
9780670026330,The Secret Place,Tana French,2014
9780778328800,These things hidden,Heather Gudenkauf,2011
9780807083700,Kindred,Octavia E. Butler,1979
9781559363300,August: Osage County,Tracy Letts,2008
9780735221090,The Couple Next Door,Shari Lapena,2016
9780425190450,All Tomorrow's Parties,William Gibson,1999
9781460995460,The Soulkeepers (The Soulkeepers #1),G.P. Ching,2011
9781481420760,Bad for You,Abbi Glines,2014
9780316113570,Ghostgirl,Tonya Hurley,2008
9780099556310,Airframe,Michael Crichton,1996
9780146000120,The Pit and the Pendulum,Edgar Allan Poe,1842
9780676979560,The Virgin Cure,Ami McKay,2011
9780060525120,"Size 12 Is Not Fat (Heather Wells, #1)",Meg Cabot,2005
9780552148060,The Seeress of Kell,David Eddings,1991
9780062076110,Twice Tempted ,Jeaniene Frost,2013
9780679735910,Possession,A.S. Byatt,1990
9780399170900,Brotherhood in Death,J.D. Robb,2016
9780451456730,Queen of the Darkness,Anne Bishop,2000
9780718152440,Jamie at Home: Cook Your Way to the Good Life,Jamie Oliver,2007
9780307348240,Cujo,Stephen King,1981
9780099460180,Blood Canticle,Anne Rice,2003
9781416516860,Deep Six,Clive Cussler,1984
9780312984820,"Night Embrace (Dark-Hunter, #2)",Sherrilyn Kenyon,2002
9780345373530,The Ruby Knight,David Eddings,1990
9780345479330,"Vector Prime (Star Wars: The New Jedi Order, #1)",R.A. Salvatore,1999
9780373211400,Talon,Julie Kagawa,2014
9780805094600,Shadow and Bone,Leigh Bardugo,2012
9780671011380,Death du Jour,Kathy Reichs,1999
9780373776990,Wicked Nights,Gena Showalter,2012
9781250003320,Of Poseidon,Anna Banks,2012
9780393330470,The Blind Side: Evolution of a Game,Michael   Lewis,2006
9780316079910,The Blinding Knife,Brent Weeks,2012
9780758266940,Kiss of Frost,Jennifer Estep,2011
9780375826700,Eragon,Christopher Paolini,2002
9780345494860, Innocent Traitor,Alison Weir,2006
9780062120400,The Son,Philipp Meyer,2012
9780316129080,Abaddon's Gate,James S.A. Corey,2013
9780449223600,"""M"" is for Malice",Sue Grafton,1996
9780439679960,Evil Star,Anthony Horowitz,2006
9780671729450,Heaven,V.C. Andrews,1985
9780099285440,Invisible Monsters,Chuck Palahniuk,1999
9780062049640,Love wins,Rob Bell,2011
9780399254120,Between Shades of Gray,Ruta Sepetys,2011
9780425116840,The Cardinal of the Kremlin,Tom Clancy,1988
9781595540070,Adam,Ted Dekker,2008
9781406350490,More Than This,Patrick Ness,2013
9780099267550,Timequake,Kurt Vonnegut Jr.,1997
9780553293390,Foundation's Edge,Isaac Asimov,1982
9781423168230,The Naturals,Jennifer Lynn Barnes,2013
9781594488140,The Last Nude,Ellis Avery,2012
9781416595170,Pursuit of Honor,Vince Flynn,2009
9781400068940,Major Pettigrew's Last Stand,Helen Simonson,2010
9781585426010,The Science of Getting Rich,Wallace D. Wattles,1910
9780771068710,The English Patient,Michael Ondaatje,1992
9780679749840,The Comfort of Strangers,Ian McEwan,1981
9780307105480,Scuffy the Tugboat and His Adventures Down the River,Gertrude Crampton,1946
9780744583270,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,1967
9781250083210,Dirty,Kylie Scott,2016
9781250012580,Eleanor & Park,Rainbow Rowell,2013
9780340796180,Five Run Away Together,Enid Blyton,1944
9780141439880,Cranford,Elizabeth Gaskell,1853
9780786914040,The Spine of the World (Paths of Darkness #2),R.A. Salvatore,1999
9780553379010,The Story of B: An Adventure of the Mind and Spirit,Daniel Quinn,1996
9780192750970,Beezus and Ramona,Beverly Cleary,1955
9781569472030,Moab Is My Washpot,Stephen Fry,1997
9781573229720,Fingersmith,Sarah Waters,2002
9780062498530,The Hate U Give,Angie Thomas,2017
9780312981660,Crooked House,Agatha Christie,1949
9780553573860,Zodiac,Neal Stephenson,1988
9780345434810,The Vampire Armand,Anne Rice,1998
9780061056900,Interesting Times,Terry Pratchett,1994
9780380789020,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,1998
9780743484370,A Stranger Is Watching,Mary Higgins Clark,1977
9780061187840,The Post-Birthday World ,Lionel Shriver,2007
9780545424980,The Raven King,Maggie Stiefvater,2016
9780312367470,Elsewhere,Gabrielle Zevin,2005
9780451464100,Grave Dance,Kalayna Price,2011
9780141300510,I Am the Cheese,Robert Cormier,1977
9780375761420,Texas,James A. Michener,1985
9780399158440,The Peripheral,William Gibson,2014
9780544303160,The Turner House,Angela Flournoy,2015
9781416584090,Just After Sunset,Stephen King,2008
9780425161300,Hocus Pocus,Kurt Vonnegut Jr.,1990
9780399153720,Angels Fall,Nora Roberts,2006
9780374346680,Love Letters to the Dead,Ava Dellaira,2014
9780553283690,Hyperion,Dan Simmons,1989
9780140385720,The Outsiders,S.E. Hinton,1967
9780553274190,Startide Rising,David Brin,1983
9780441020420,Magic Slays,Ilona Andrews,2011
9780450837320,A Bridge Too Far,Cornelius Ryan,1974
9780446677130,The Burden of Proof,Scott Turow,1990
9780061284430,Afterlife,Claudia Gray,2011
9780060727220,The Black Lyon,Jude Deveraux,1980
9780060759960,Little Altars Everywhere,Rebecca Wells,1992
9780310902710,Holy Bible: New International Version,Anonymous,1909
9788575425770,Aleph,Paulo Coelho,2010
9780441017390,Hunting Ground,Patricia Briggs,2009
9780316156290,"Lord of the Shadows (Cirque Du Freak, #11)",Darren Shan,2005
9780545135700,The Sword Thief,Peter Lerangis,2009
9781476770380,Revival,Stephen King,2014
9780062333000,The Bookseller,Cynthia Swanson,2015
9780062026090,Variant,Robison Wells,2011
9780316024650,Cross Country,James Patterson,2008
9780345527950,Wife 22,Melanie Gideon,2008
9780060590280,A Dirty Job,Christopher Moore,2006
9781442430010,Rebel Heart,Moira Young,2012
9780440241030,One Shot,Lee Child,2005
9780451462560,Turn Coat,Jim Butcher,2009
9780452287590,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,2005
9780310277000,The Purpose Driven Life: What on Earth am I Here For?,Rick Warren,2002
9780395150240,Curious George,H.A. Rey,1941
9780312156960,The Winter King,Bernard Cornwell,1995
9780440241910,Shopaholic and Sister,Sophie Kinsella,2004
9781439123130,Demon From the Dark ,Kresley Cole,2010
9781250002820,Infamous,Sherrilyn Kenyon,2012
9780312989770,Nantucket Nights,Elin Hilderbrand,2002
9780373210340,The Girl in the Steel Corset,Kady Cross,2011
9780312264000,Timbuktu,Paul Auster,1999
9781401359610,Bergdorf Blondes,Plum Sykes,2004
9780451219950,The Last Templar,Raymond Khoury,2006
9780515141400,Blue Smoke,Nora Roberts,2005
9781416527270,The Little Lady Agency,Hester Browne,2005
9780449004840,Children of God,Mary Doria Russell,1998
9780099471430,Lasher,Anne Rice,1993
9780060890680,The Last Anniversary,Liane Moriarty,2006
9781600963940,The Secret Adversary,Agatha Christie,1922
9780575096580,Deadlocked,Charlaine Harris,2012
9780312577220,Fly Away,Kristin Hannah,2013
9781423157530,In The Afterlight,Alexandra Bracken,2014
9780312362160,"Acheron (Dark-Hunter, #15) - Part 1",Sherrilyn Kenyon,2008
9780515142890,Finding the Dream,Nora Roberts,1996
9780060824980,The Thief,Megan Whalen Turner,1996
9780380729400,Something Wicked This Way Comes,Ray Bradbury,1962
9780310257680,Night Light: A Restoration Novel,Terri Blackstock,2006
9780141006570,Take the Cannoli: Stories from the New World,Sarah Vowell,2000
9780062114620,Tiger Lily,Jodi Lynn Anderson,2012
9781455531190,You'll Grow Out of It,Jessi Klein,2016
9780345539820,Golden Son,Pierce Brown,2015
9780062014540,Requiem,Lauren Oliver,2013
9780062224740,Cruel Beauty,Rosamund Hodge,2014
9780061020680,Mort,Terry Pratchett,1987
9780385611080,I Shall Wear Midnight,Terry Pratchett,2010
9780670011310,Waiting For You,Susane Colasanti,2009
9781416528630,Little Earthquakes,Jennifer Weiner,2004
9780670026620,The Girl You Left Behind,Jojo Moyes,2012
9780310226060,The Case for Christ,Lee Strobel,1988
9780062257830,The Perfume Collector,Kathleen Tessaro,2013
9780061922310,Secret Daughter,Shilpi Somaya Gowda,2010
9781595143980,Across the Universe,Beth Revis,2011
9781476792490,After We Collided,Anna Todd,2013
9780062012040,Goddess,Josephine Angelini,2013
9780718149860,The Brightest Star in the Sky,Marian Keyes,2009
9780310247560,Ever After,Karen Kingsbury,2006
9780743484340,Pretend You Don't See Her,Mary Higgins Clark,1997
9780425106880,Outbreak,Robin Cook,1987
9781406800170,Captain Blood: His Odyssey,Rafael Sabatini,1922
9780060572970,Dead Witch Walking,Kim Harrison,2004
9780743269510,The 7 Habits of Highly Effective People,Stephen R. Covey,1989
9780373210370,The Iron Knight,Julie Kagawa,2011
9780440221660,The Fiery Cross,Diana Gabaldon,2001
9781591843160,Linchpin: Are You Indispensable?,Seth Godin,2010
9780805090800,Invisible,Paul Auster,2009
9780066211310,Just Kids,Patti Smith,2010
9780552552650,A Hat Full of Sky,Terry Pratchett,2004
9780099642620,The Fourth Protocol,Frederick Forsyth,1984
9780684833390,Catch-22,Joseph Heller,1961
